industry_code,industry_name,avg_spc_5_year,avg_npm_5_year,spc_1011,npm_1011,spc_1112,npm_1112,spc_1213,npm_1213,spc_1314,npm_1314
3335,Metalworking Machinery Manufacturing,0.118597874,0.069846106,0.173922644,0.065321111,0.196674574,0.064548711,0.085813376,0.081088342,0.01023967,0.065830998
4245,Farm Product Raw Material Merchant Wholesalers,0.11810761,0.018029809,0.100647743,0.023613173,0.205993761,0.014341518,0.118091815,0.014445694,0.035662897,0.020254677
2371,Utility System Construction,0.116821484,0.039243831,0.068521649,0.019441916,0.145501469,0.033982579,0.114998072,0.046133806,0.13831822,0.055825672
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.115607336,0.046313066,0.118586213,0.039014657,0.166173883,0.046866423,0.118178969,0.049065735,0.057767335,0.049154239
1111,Oilseed and Grain Farming,0.114351924,0.07578051,0.047538538,0.071990326,0.19882405,0.046152547,0.163587238,0.103310052,0.055892372,0.090478929
5414,Specialized Design Services,0.114170361,0.076188224,0.113138271,0.072825009,0.120352703,0.052645417,0.110747802,0.098207024,0.091165096,0.068517534
8114,Personal and Household Goods Repair and Maintenance,0.11390854,0.073504335,0.110717672,0.072044754,0.095128428,0.077783194,0.115822957,0.067935208,0.148990236,0.059859924
6115,Technical and Trade Schools,0.112987682,0.074499974,0.19257924,0.090726414,0.152729453,0.085658357,0.071303287,0.065858521,0.047509426,0.055520751
3364,Aerospace Product and Parts Manufacturing,0.11214638,0.08497397,0.119272784,0.08926878,0.136325571,0.08008609,0.126714976,0.089748004,0.043568604,0.080191819
4842,Specialized Freight Trucking,0.109692649,0.040883104,0.117147941,0.035409704,0.150575419,0.034364268,0.097871036,0.042965224,0.073417575,0.04584974
1133,Logging,0.108997466,0.022692409,0.237797871,0.030982174,0.054305607,0.008083919,0.09178729,0.008381814,0.071303063,0.044005983
3328,"Coating, Engraving, Heat Treating, and Allied Activities",0.108225324,0.088932054,0.191154823,0.080133749,0.13517836,0.081717125,0.07237335,0.093855872,0.027340919,0.088766892
3261,Plastics Product Manufacturing,0.10821602,0.050532144,0.159603599,0.04544209,0.118963943,0.044060774,0.082313312,0.053695155,0.074616896,0.058060601
3119,Other Food Manufacturing,0.106817711,0.044493478,0.110648699,0.044620783,0.089212376,0.047157404,0.132318037,0.05113741,0.097957464,0.033943835
4411,Automobile Dealers,0.105861825,0.024668736,0.142490647,0.024428089,0.122234243,0.022849484,0.079997388,0.022946719,0.084477575,0.026450473
5629,Remediation and Other Waste Management Services,0.105518155,0.063347929,0.134566907,0.066249603,0.117279798,0.063819442,0.086761793,0.054521939,0.090973982,0.061692989
3359,Other Electrical Equipment and Component Manufacturing,0.10548736,0.063696614,0.149907458,0.036729085,0.137472817,0.0750059,0.089593443,0.082257154,0.010250113,0.061185305
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.105263204,0.074384547,0.118876908,0.072462212,0.132436868,0.067325979,0.108619601,0.070198858,0.077640015,0.079755705
1151,Support Activities for Crop Production,0.104886295,0.055835832,0.067292766,0.05368509,0.200081873,0.051317628,0.0964176,0.062956786,0.066195759,0.052094671
3323,Architectural and Structural Metals Manufacturing,0.103240457,0.034115507,0.010062389,0.01472255,0.183477586,0.026273218,0.171785867,0.048321516,0.044934794,0.042527334
5418,"Advertising, Public Relations, and Related Services",0.10322287,0.068226775,0.091952246,0.056198022,0.101860027,0.061687301,0.141099878,0.080403946,0.071258124,0.079216876
3399,Other Miscellaneous Manufacturing,0.102426225,0.034544751,0.106759229,0.03604375,0.124641746,0.033710606,0.096480472,0.039548733,0.073514264,0.02441124
4412,Other Motor Vehicle Dealers,0.102294169,0.020481856,0.076303326,0.014568614,0.120021768,0.019150092,0.131202622,0.022076889,0.065262829,0.023168056
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,0.101898106,0.036878425,0.116046199,0.033182366,0.114028959,0.032347052,0.105445226,0.037642687,0.062939475,0.042952153
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,0.101623228,0.027490203,0.031168236,0.003861584,0.133613623,0.023667525,0.124458355,0.03327338,0.10713003,0.053952985
2379,Other Heavy and Civil Engineering Construction,0.101371095,0.036511196,0.053407623,0.030690174,0.106156908,0.031781503,0.113983536,0.035570072,0.120204135,0.041860224
3259,Other Chemical Product and Preparation Manufacturing,0.10125209,0.035800043,0.138208867,0.026336981,0.125627181,0.021228225,0.090203948,0.044229937,0.055738502,0.068097968
6219,Other Ambulatory Health Care Services,0.09956752,0.080666047,0.059000064,0.085808625,0.095965127,0.067969125,0.119022399,0.078029685,0.13920871,0.082808955
6116,Other Schools and Instruction,0.097714297,0.079546434,0.08591126,0.087548288,0.106112806,0.066495892,0.091568667,0.068503396,0.092875132,0.085616824
7223,Special Food Services,0.097455912,0.025241922,0.066076887,0.031277327,0.12139576,0.01789622,0.125053986,0.020671154,0.067646159,0.020506033
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,0.096477262,0.044859225,0.090508841,0.032780083,0.098152504,0.047539233,0.107795463,0.05047186,0.068093725,0.042118318
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,0.095850611,0.098844528,0.057267996,0.056539514,0.120910815,0.075950071,0.104456919,0.13083289,0.099071402,0.124698704
3241,Petroleum and Coal Products Manufacturing,0.095402077,0.021614851,0.058769363,0.031711977,0.166977093,0.021840899,0.083035956,0.011414878,0.070800306,0.013773627
5413,"Architectural, Engineering, and Related Services",0.095261302,0.073151137,0.04517744,0.054989853,0.107299453,0.068793579,0.116483478,0.083364639,0.122005483,0.086952316
2361,Residential Building Construction,0.094822299,0.018485997,0.011327341,-0.00557573,0.040295892,0.002812369,0.140866775,0.026747578,0.170687695,0.044587136
5617,Services to Buildings and Dwellings,0.094584583,0.059929288,0.064437304,0.057851729,0.087632252,0.055353909,0.098058884,0.054720578,0.128307517,0.06429329
5322,Consumer Goods Rental,0.09425063,0.064569056,0.078451781,0.039835088,0.154697416,0.071946121,0.052971846,0.065563771,0.106353926,0.08431015
8121,Personal Care Services,0.093860978,0.059032244,0.068678037,0.059001554,0.109474418,0.063467009,0.092817217,0.072541231,0.099097217,0.039037807
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,0.092856757,0.029563091,0.12133355,0.029600765,0.135037736,0.024726411,0.060792376,0.028227214,0.04889433,0.030203211
4884,Support Activities for Road Transportation,0.091805381,0.041976996,0.081377218,0.027514001,0.082108068,0.037570077,0.063749757,0.033456173,0.087661012,0.065439369
3219,Other Wood Product Manufacturing,0.091128711,0.018627158,0.04945956,0.001556294,0.08223981,0.009689466,0.10296633,0.027052714,0.152875156,0.041528268
5419,"Other Professional, Scientific, and Technical Services",0.088758238,0.082114274,0.10557102,0.075107883,0.092895168,0.072624886,0.088474121,0.087360717,0.065938728,0.091456952
2362,Nonresidential Building Construction,0.088611013,0.01665211,-0.037425508,0.003915931,0.129122345,0.010174751,0.14661342,0.024016735,0.116141811,0.029541285
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,0.087771283,0.054375935,0.08628865,0.048761151,0.138651717,0.053722673,0.083179036,0.054823844,0.040648303,0.05824818
4233,Lumber and Other Construction Materials Merchant Wholesalers,0.08776139,0.022153388,0.016211146,0.014172483,0.080914681,0.010796914,0.111006346,0.025985481,0.153655275,0.033897573
8129,Other Personal Services,0.087628512,0.063366844,0.079732207,0.050069398,0.093900207,0.051621007,0.077255905,0.068889602,0.099295515,0.076989078
2381,"Foundation, Structure, and Building Exterior Contractors",0.085154773,0.034213805,-0.013464673,0.013494311,0.096162233,0.02839531,0.123765872,0.040579172,0.131198352,0.051525944
3344,Semiconductor and Other Electronic Component Manufacturing,0.085034654,0.054536919,0.163032354,0.05401071,0.103547877,0.037186092,0.047773709,0.064421401,0.023342486,0.067551509
5616,Investigation and Security Services,0.084869149,0.054142726,0.054753343,0.035272751,0.096262328,0.056301062,0.085555026,0.059284116,0.114819436,0.066885767
2382,Building Equipment Contractors,0.084537825,0.03569851,0.018571452,0.025943709,0.106903603,0.031816475,0.101800486,0.038450221,0.109539306,0.04463984
4232,Furniture and Home Furnishing Merchant Wholesalers,0.083422215,0.039247072,0.075123504,0.040098496,0.089875564,0.041886008,0.071674446,0.030835458,0.085810511,0.042342875
6214,Outpatient Care Centers,0.083017827,0.137932378,0.112840412,0.126076382,0.088046155,0.151893319,0.0680569,0.1500422,0.080494028,0.130787548
4471,Gasoline Stations,0.081745441,0.013994861,0.130639143,0.013270438,0.152115563,0.011969188,0.037876066,0.013122457,-0.000813919,0.016458785
3222,Converted Paper Product Manufacturing,0.081477385,0.043256235,0.153313865,0.049252778,0.084861897,0.041344119,0.056229501,0.039297653,0.02484962,0.037596145
4431,Electronics and Appliance Stores,0.080772636,0.025912126,0.059684426,0.030279525,0.093141143,0.019667442,0.073959112,0.029449733,0.112193979,0.026418867
4452,Specialty Food Stores,0.080031203,0.024128167,0.050287087,0.023282691,0.094516551,0.020106032,0.100561467,0.026944952,0.075653322,0.027767365
6216,Home Health Care Services,0.079745823,0.051129085,0.085394904,0.055478232,0.06460289,0.05027174,0.07159957,0.052007466,0.09885681,0.055705699
2373,"Highway, Street, and Bridge Construction",0.079245698,0.021759162,0.079386161,0.023844007,0.074562542,0.017568404,0.095197964,0.020675866,0.068149956,0.022075614
4244,Grocery and Related Product Merchant Wholesalers,0.078958913,0.023618058,0.070174806,0.026331521,0.095391921,0.018647751,0.060721625,0.022987531,0.086858087,0.025181921
2383,Building Finishing Contractors,0.078617177,0.044191201,-0.005794017,0.0338736,0.096216109,0.032598524,0.11289618,0.049270093,0.108448092,0.056984765
6113,"Colleges, Universities, and Professional Schools",0.078072172,0.089396274,0.100415383,0.097982504,0.118972111,0.113873291,0.03617045,0.038542997,0.081624859,0.104601132
3279,Other Nonmetallic Mineral Product Manufacturing,0.077736653,0.027838743,0.060010849,0.027091638,0.068318431,0.020406452,0.092691002,0.040371483,0.106003848,0.034916284
2123,Nonmetallic Mineral Mining and Quarrying,0.077235307,0.05520025,0.091708314,0.04843055,0.042948649,0.040511152,0.07410564,0.056640976,0.095204084,0.073705114
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,0.076985121,0.034416266,0.082877001,0.033595367,0.091605372,0.029458874,0.058703073,0.030314344,0.086006104,0.042032443
4539,Other Miscellaneous Store Retailers,0.076507943,0.025055803,0.063439307,0.016629292,0.068396936,0.025973062,0.102408183,0.024101414,0.071259145,0.02742661
6221,General Medical and Surgical Hospitals,0.076499638,0.041984848,0.063422667,0.043068061,0.065637008,0.042823246,0.116375971,0.048523467,0.065088756,0.035509496
6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,0.076203977,0.008655726,0.086942521,0.012597239,0.072002984,-0.003459232,0.068154275,0.019710619,0.079109355,0.006914733
3273,Cement and Concrete Product Manufacturing,0.075564071,0.023809207,0.015963687,0.014427185,0.066974447,0.019409053,0.122597788,0.029121348,0.098505917,0.027673877
3391,Medical Equipment and Supplies Manufacturing,0.075220912,0.03243651,0.111175785,0.024025881,0.083023761,0.032224653,0.055928017,0.02812231,0.038500612,0.045415045
5614,Business Support Services,0.074745237,0.075575158,0.056632751,0.07140628,0.09612332,0.077117695,0.064985284,0.068852247,0.082967861,0.079920251
2211,"Electric Power Generation, Transmission, and Distribution",0.071617688,0.040310153,0.029022797,0.010618517,0.137798634,0.063432261,0.036530629,0.042611626,0.073047803,0.030919849
4413,"Automotive Parts, Accessories, and Tire Stores",0.070983679,0.02359052,0.094537269,0.022089349,0.089067684,0.025184363,0.055346597,0.021966566,0.044605529,0.020376089
4481,Clothing Stores,0.070313266,0.031464685,0.060467522,0.024999268,0.070705772,0.034047295,0.090295722,0.030334587,0.042385311,0.051724305
6244,Child Day Care Services,0.069842657,0.042008542,0.057425586,0.032984243,0.071359978,0.022107567,0.072883425,0.046480713,0.080716179,0.053782718
4483,"Jewelry, Luggage, and Leather Goods Stores",0.069608411,0.04315553,0.119587756,0.037260067,0.141248637,0.043485682,0.019438179,0.047233327,-1.40E-05,0.039038779
5231,Securities and Commodity Contracts Intermediation and Brokerage,0.069099528,0.094068543,0.073946568,0.0773822,0.103767002,0.115611481,0.05412391,0.090311037,0.033828678,0.094712662
6241,Individual and Family Services,0.068417815,0.041946081,0.046286615,0.049681521,0.089365894,0.032623283,0.067845471,0.035897453,0.072900648,0.050953606
6213,Offices of Other Health Practitioners,0.068104513,0.121005597,0.069334652,0.117935423,0.079580516,0.115774044,0.067828763,0.121835086,0.054122929,0.121168512
7211,Traveler Accommodation,0.06794349,0.018780534,0.049578383,-0.032469235,0.085135624,0.005064759,0.078601005,0.037162614,0.049041606,0.05441999
4931,Warehousing and Storage,0.067402023,0.063986662,0.03680368,0.03917008,0.126360044,0.049754506,0.050548331,0.074156438,0.061691449,0.095327986
4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.066885325,0.030203624,0.031603809,0.028787456,0.085507752,0.026641655,0.096480992,0.033057021,0.055338711,0.031150328
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",0.065363325,0.161994295,0.048159068,0.156646405,0.058853077,0.152392713,0.074113958,0.159139719,0.084108412,0.164149264
4442,Lawn and Garden Equipment and Supplies Stores,0.06493855,0.013385162,0.055840949,0.008762498,0.059606626,0.003463506,0.086044556,0.016296703,0.058055971,0.023766413
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",0.063773004,0.034940684,0.044901083,0.028464065,0.090319267,0.031188318,0.058353898,0.035614579,0.052369784,0.043284104
6111,Elementary and Secondary Schools,0.063457067,0.045493884,0.058173328,0.038535109,0.070378538,0.051357123,0.045661776,0.028484867,0.078371103,0.050923503
5411,Legal Services,0.061969948,0.169508281,0.040282084,0.159880512,0.061762593,0.159532159,0.088457844,0.180178424,0.058652663,0.187261643
4421,Furniture Stores,0.059912731,0.020000155,0.050553956,0.010363329,0.077423146,0.017656637,0.062047511,0.020932914,0.054374844,0.029953491
7225,Restaurants and Other Eating Places,0.058309515,0.02594152,0.040307077,0.016921364,0.064054779,0.019175637,0.075530195,0.029491577,0.048270155,0.031474296
6242,"Community Food and Housing, and Emergency and Other Relief Services",0.057744982,0.048335208,0.069996305,0.077243706,0.06149424,0.053120592,0.047764291,0.026020706,0.062347105,0.040204537
4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.066885325,0.030203624,0.031603809,0.028787456,0.085507752,0.026641655,0.096480992,0.033057021,0.055338711,0.031150328
4461,Health and Personal Care Stores,0.056856481,0.03900339,0.063183661,0.033281502,0.074321798,0.039493048,0.040350479,0.041773742,0.044003176,0.039875743
4241,Paper and Paper Product Merchant Wholesalers,0.05590038,0.023492369,0.087795919,0.018183699,0.069937979,0.03128626,0.02975736,0.01925965,0.03007325,0.020962874
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",0.054088723,0.029205481,0.038405215,0.031720725,0.052411171,0.020647584,0.031841243,0.021177805,0.091826679,0.039396673
6212,Offices of Dentists,0.053761879,0.130908165,0.035358729,0.125190748,0.052260969,0.126090741,0.059929569,0.125339553,0.056617223,0.131440333
8123,Drycleaning and Laundry Services,0.053383429,0.060314678,0.017000243,0.041014131,0.069004197,0.050052943,0.059811712,0.062689308,0.06738366,0.082350275
8111,Automotive Repair and Maintenance,0.053184221,0.03833531,0.047130379,0.031560528,0.074671968,0.031892524,0.036292102,0.033599372,0.048569086,0.04662464
5313,Activities Related to Real Estate,0.052928017,0.047425725,0.022950984,0.012504278,0.023708031,0.027721125,0.084241146,0.06160187,0.079990309,0.082267114
